Gene ID	Found in	Non-hypothetical Annotation	Which Annotation	Hypothetical Annotation	Which Annotation
NC_000913:complement(3475332..3475718):CDS	nc_000913	"sulfurtransferase for 2-thiolation step of mnm(5)-s(2)u34-trna synthesis"	nc_000913		
NC_000913:complement(3475718..3476440):CDS	nc_000913	"putative pas domain-containing dna-binding transcriptional regulator"	nc_000913		
NC_000913:complement(3476607..3477419):CDS	nc_000913	"fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase)"	nc_000913		
NC_000913:3477640..3477858:CDS	nc_000913	"phi x174 lysis protein"	nc_000913		
NC_000913:complement(3477907..3478497):CDS	nc_000913	"fkbp-type peptidyl prolyl cis-trans isomerase (rotamase)"	nc_000913		
NC_000913:complement(3478592..3478792):CDS	nc_000913	"duf2387 family putative metal-binding protein"	nc_000913		
NC_000913:complement(3478802..3480607):CDS	nc_000913	"potassium:proton antiporter"	nc_000913		
NC_000913:complement(3480607..3481161):CDS	nc_000913	"potassium-efflux system ancillary protein for kefb, glutathione-regulated"	nc_000913		
NC_000913:3481289..3483202:CDS	nc_000913	"abc-f family protein predicted regulatory atpase"	nc_000913		
NC_000913:3483202..3484224:CDS	nc_000913	"upf0017 family putative hydrolase"	nc_000913		
NC_000913:3484218..3484436:CDS	nc_000913	"upf0270 family protein"	nc_000913		
NC_000913:3484490..3485359:CDS	nc_000913	"putative phosphoribulokinase"	nc_000913		
NC_000913:complement(3485414..3485818):CDS	nc_000913	"osmc family protein"	nc_000913		
NC_000913:3486120..3486752:CDS	nc_000913	"camp-activated global transcription factor, mediator of catabolite repression"	nc_000913		
NC_000913:3486791..3488893:CDS	nc_000913	"putative transporter, fusc superfamily inner membrane protein"	nc_000913		
NC_000913:complement(3488960..3490180):CDS	nc_000913	"bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase"	nc_000913		
NC_000913:complement(3490266..3490829):CDS	nc_000913	"aminodeoxychorismate synthase, subunit ii"	nc_000913		
NC_000913:complement(3490861..3491463):CDS	nc_000913	"stationary phase-induced protein, putative toxin"	nc_000913		
NC_000913:complement(3491453..3491620):CDS	nc_000913	"putative antitoxin for fic"	nc_000913		
NC_000913:complement(3491725..3492297):CDS	nc_000913	"peptidyl-prolyl cis-trans isomerase a (rotamase a)"	nc_000913		
NC_000913:3492568..3493749:CDS	nc_000913	"putative transporter"	nc_000913		
NC_000913:3494011..3496554:CDS	nc_000913	"nitrite reductase, large subunit, nad(p)h-binding"	nc_000913		
NC_000913:3496551..3496877:CDS	nc_000913	"nitrite reductase (nadh) small subunit"	nc_000913		
NC_000913:3497003..3497809:CDS	nc_000913	"nitrite transporter"	nc_000913		
NC_000913:3497828..3499201:CDS	nc_000913	"fused siroheme synthase 1,3-dimethyluroporphyriongen iii dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase"	nc_000913		
NC_000913:3499448..3499615:CDS	nc_000913	"small lipoprotein"	nc_000913		
NC_000913:3499910..3501247:CDS	nc_000913	"putative fructoselysine transporter"	nc_000913		
NC_000913:3501268..3502290:CDS	nc_000913	"fructoselysine-6-p-deglycase"	nc_000913		
NC_000913:3502340..3503170:CDS	nc_000913	"fructoselysine 3-epimerase"	nc_000913		
NC_000913:3503167..3503952:CDS	nc_000913	"fructoselysine 6-kinase"	nc_000913		
NC_000913:3504052..3504783:CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:complement(3504935..3506020):CDS	nc_000913	"fnr-regulated pyridoxal phosphate-dependent aminotransferase family protein"	nc_000913		
NC_000913:complement(3506032..3507336):CDS	nc_000913	"inner membrane protein"	nc_000913		
NC_000913:complement(3507348..3507701):CDS	nc_000913	"duf2620 family protein"	nc_000913		
NC_000913:complement(3507712..3508590):CDS	nc_000913	"phosphotriesterase homology protein"	nc_000913		
NC_000913:complement(3508587..3509813):CDS	nc_000913	"phosphopentomutase-related metalloenzyme superfamily protein"	nc_000913		
NC_000913:complement(3509813..3510976):CDS	nc_000913	"putative pyridoxal 5'-phosphate binding protein"	nc_000913		
NC_000913:complement(3511060..3511422):CDS	nc_000913	"prd domain protein"	nc_000913		
NC_000913:complement(3511439..3512344):CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:complement(3512634..3513638):CDS	nc_000913	"tryptophanyl-trna synthetase"	nc_000913		
NC_000913:complement(3513631..3514389):CDS	nc_000913	"phosphoglycolate phosphatase"	nc_000913		
NC_000913:complement(3514382..3515059):CDS	nc_000913	"d-ribulose-5-phosphate 3-epimerase"	nc_000913		
NC_000913:complement(3515077..3515913):CDS	nc_000913	"dna adenine methyltransferase"	nc_000913		
NC_000913:complement(3516020..3517306):CDS	nc_000913	"cell division protein that binds to the septal ring"	nc_000913		
NC_000913:complement(3517398..3518486):CDS	nc_000913	"3-dehydroquinate synthase"	nc_000913		
NC_000913:complement(3518543..3519064):CDS	nc_000913	"shikimate kinase i"	nc_000913		
NC_000913:complement(3519465..3520703):CDS	nc_000913	"dna catabolic putative fimbrial transporter"	nc_000913		
NC_000913:complement(3520615..3521019):CDS	nc_000913	"dna catabolic protein"	nc_000913		
NC_000913:complement(3521009..3521449):CDS	nc_000913	"dna catabolic protein"	nc_000913		
NC_000913:complement(3521433..3521972):CDS	nc_000913	"dna catabolic putative fimbrial assembly protein"	nc_000913		
NC_000913:complement(3521972..3522751):CDS	nc_000913	"dna catabolic putative pilus assembly protein"	nc_000913		
NC_000913:3522871..3525423:CDS	nc_000913	"penicillin-binding protein 1a, murein transglycosylase and transpeptidase"	nc_000913		
NC_000913:complement(3525589..3526149):CDS	nc_000913	"adenosine nucleotide hydrolase; ap3a/ap2a/adp-ribose/nadh hydrolase"	nc_000913		
NC_000913:3526469..3528604:CDS	nc_000913	"putative rcscdb-response attenuator, inner membrane protein"	nc_000913		
NC_000913:3528669..3529337:CDS	nc_000913	"gmp/imp nucleotidase"	nc_000913		
NC_000913:3529348..3529749:CDS	nc_000913	"ribosome-associated heat shock protein hsp15"	nc_000913		
NC_000913:3529774..3530652:CDS	nc_000913	"heat shock protein hsp33"	nc_000913		
NC_000913:complement(3530715..3532439):CDS	nc_000913	"duf4153 family putative inner membrane protein"	nc_000913		
NC_000913:3532818..3534440:CDS	nc_000913	"phosphoenolpyruvate carboxykinase [atp]"	nc_000913		
NC_000913:complement(3534516..3535868):CDS	nc_000913	"sensory histidine kinase in two-component regulatory system with ompr"	nc_000913		
NC_000913:complement(3535865..3536584):CDS	nc_000913	"response regulator in two-component regulatory system with envz"	nc_000913		
NC_000913:3536812..3537288:CDS	nc_000913	"transcript cleavage factor"	nc_000913		
NC_000913:3537385..3539706:CDS	nc_000913	"putative transcriptional accessory protein"	nc_000913		
NC_000913:3540163..3540390:CDS	nc_000913	"ferrous iron transporter, protein a"	nc_000913		
NC_000913:3540407..3542728:CDS	nc_000913	"ferrous iron transporter protein b and gtp-binding protein; membrane protein"	nc_000913		
NC_000913:3542728..3542964:CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:3543167..3544045:CDS	nc_000913	"transposase_31 family protein"	nc_000913		
NC_000913:complement(3544074..3544844):CDS	nc_000913	"pimeloyl-acp methyl ester carboxylesterase"	nc_000913		
NC_000913:3544882..3545565:CDS	nc_000913	"dna catabolic protein"	nc_000913		
NC_000913:3545624..3546199:CDS	nc_000913	"fe/s biogenesis protein, putative scaffold/chaperone protein"	nc_000913		
NC_000913:3546559..3547875:CDS	nc_000913	"gluconate transporter, high-affinity gnt i system"	nc_000913		
NC_000913:complement(3547986..3550070):CDS	nc_000913	"4-alpha-glucanotransferase (amylomaltase)"	nc_000913		
NC_000913:complement(3550080..3552473):CDS	nc_000913	"maltodextrin phosphorylase"	nc_000913		
NC_000913:3553085..3555790:CDS	nc_000913	"mal regulon transcriptional activator"	nc_000913		
NC_000913:complement(3555833..3556849):CDS	nc_000913	"rna 3'-terminal phosphate cyclase"	nc_000913		
NC_000913:complement(3556853..3558079):CDS	nc_000913	"rna-splicing ligase"	nc_000913		
NC_000913:3558268..3559866:CDS	nc_000913	"sigma 54-dependent transcriptional regulator of rtcba expression"	nc_000913		
NC_000913:complement(join(3559848..3560453,3560456..3560605)):CDS	nc_000913		nc_000913		
NC_000913:complement(3560622..3561452):CDS	nc_000913	"rhomboid intramembrane serine protease"	nc_000913		
NC_000913:complement(3561497..3561823):CDS	nc_000913	"thiosulfate:cyanide sulfurtransferase (rhodanese)"	nc_000913		
NC_000913:3562013..3563518:CDS	nc_000913	"sn-glycerol-3-phosphate dehydrogenase, aerobic, fad/nad(p)-binding"	nc_000913		
NC_000913:complement(3563787..3564005):CDS	nc_000913		nc_000913		
NC_000913:complement(3564134..3566581):CDS	nc_000913	"glycogen phosphorylase"	nc_000913		
NC_000913:complement(3566600..3568033):CDS	nc_000913	"glycogen synthase"	nc_000913		
NC_000913:complement(3568033..3569328):CDS	nc_000913	"glucose-1-phosphate adenylyltransferase"	nc_000913		
NC_000913:complement(3569346..3571319):CDS	nc_000913	"glycogen debranching enzyme"	nc_000913		
NC_000913:complement(3571316..3573502):CDS	nc_000913	"1,4-alpha-glucan branching enzyme"	nc_000913		
NC_000913:complement(3573775..3574878):CDS	nc_000913	"aspartate-semialdehyde dehydrogenase, nad(p)-binding"	nc_000913		
NC_000913:3575071..3575664:CDS	nc_000913	"upf0056 family inner membrane protein"	nc_000913		
NC_000913:complement(3575721..3577061):CDS	nc_000913	"gluconate transporter, low affinity gnt 1 system"	nc_000913		
NC_000913:complement(3577065..3577592):CDS	nc_000913	"gluconate kinase 2"	nc_000913		
NC_000913:complement(3577731..3578726):CDS	nc_000913	"d-gluconate inducible gluconate regulon transcriptional repressor"	nc_000913		
NC_000913:complement(3578950..3579645):CDS	nc_000913	"quercetinase activity in vitro"	nc_000913		
NC_000913:complement(3579768..3580805):CDS	nc_000913	"putative oxidoreductase"	nc_000913		
NC_000913:3581138..3581626:CDS	nc_000913	"aminoacyl nucleotide detoxifying acetyltransferase"	nc_000913		
NC_000913:3581863..3583041:CDS	nc_000913	"putative hcp1 family polymorphic toxin protein; putative colicin-like dnase/trnase activity"	nc_000913		
NC_000913:join(3583038..3583418,3584196..3584309):CDS	nc_000913		nc_000913		
NC_000913:3583483..3583758:CDS	nc_000913	"is1 repressor tnpa"	nc_000913		
NC_000913:3583677..3584180:CDS	nc_000913	"is1 transposase b"	nc_000913		
NC_000913:3584759..3585043:CDS	nc_000913	"stable heat shock chaperone"	nc_000913		
NC_000913:complement(3585081..3586823):CDS	nc_000913	"gamma-glutamyltranspeptidase"	nc_000913		
NC_000913:3586943..3587383:CDS	nc_000913	"duf2756 family protein"	nc_000913		
NC_000913:complement(3587370..3588113):CDS	nc_000913	"glycerophosphodiester phosphodiesterase, cytosolic"	nc_000913		
NC_000913:complement(3588110..3589180):CDS	nc_000913	"sn-glycerol-3-phosphate abc transporter atpase"	nc_000913		
NC_000913:complement(3589182..3590027):CDS	nc_000913	"sn-glycerol-3-phosphate abc transporter permease"	nc_000913		
NC_000913:complement(3590024..3590911):CDS	nc_000913	"sn-glycerol-3-phosphate abc transporter permease"	nc_000913		
NC_000913:complement(3591009..3592325):CDS	nc_000913	"sn-glycerol-3-phosphate abc transporter periplasmic binding protein"	nc_000913		
NC_000913:complement(3592724..3593437):CDS	nc_000913	"branched-chain amino acid abc transporter atpase"	nc_000913		
NC_000913:complement(3593439..3594206):CDS	nc_000913	"branched-chain amino acid abc transporter atpase"	nc_000913		
NC_000913:complement(3594203..3595480):CDS	nc_000913	"branched-chain amino acid abc transporter permease"	nc_000913		
NC_000913:complement(3595477..3596403):CDS	nc_000913	"branched-chain amino acid abc transporter permease"	nc_000913		
NC_000913:complement(3596451..3597560):CDS	nc_000913	"leucine transporter subunit"	nc_000913		
NC_000913:3597984..3598367:CDS	nc_000913	"pand autocleavage accelerator, panothenate synthesis"	nc_000913		
NC_000913:complement(3598555..3599658):CDS	nc_000913	"branched-chain amino acid abc transporter periplasmic binding protein"	nc_000913		
NC_000913:complement(3599929..3600783):CDS	nc_000913	"rna polymerase, sigma 32 (sigma h) factor"	nc_000913		
NC_000913:complement(3601028..3602086):CDS	nc_000913	"putative abc transporter permease"	nc_000913		
NC_000913:complement(3602079..3602747):CDS	nc_000913	"cell division atp-binding protein"	nc_000913		
NC_000913:complement(3602750..3604243):CDS	nc_000913	"signal recognition particle (srp) receptor"	nc_000913		
NC_000913:3604393..3604989:CDS	nc_000913	"16s rrna m(2)g966 methyltransferase, sam-dependent"	nc_000913		
NC_000913:3604979..3605248:CDS	nc_000913	"duf1145 family protein"	nc_000913		
NC_000913:complement(3605251..3605610):CDS	nc_000913	"duf2500 family protein"	nc_000913		
NC_000913:3605751..3606377:CDS	nc_000913	"tmem86 family putative inner membrane protein"	nc_000913		
NC_000913:3606451..3608649:CDS	nc_000913	"zinc, cobalt and lead efflux system"	nc_000913		
NC_000913:complement(3608751..3608996):CDS	nc_000913	"mnm(5)-s(2)u34-trna 2-thiolation sulfurtransferase"	nc_000913		
NC_000913:3609217..3609882:CDS	nc_000913	"duf165 family inner membrane protein"	nc_000913		
NC_000913:3609955..3610512:CDS	nc_000913	"putative lipoprotein"	nc_000913		
NC_000913:complement(3610516..3611733):CDS	nc_000913	"putative arabinose efflux transporter"	nc_000913		
NC_000913:3611865..3612914:CDS	nc_000913	"upf0118 family putative transporter"	nc_000913		
NC_000913:3612969..3613556:CDS	nc_000913	"4'-phosphopantetheinyl transferase"	nc_000913		
NC_000913:3613667..3615241:CDS	nc_000913	"nickel/heme abc transporter periplasmic binding protein"	nc_000913		
NC_000913:3615241..3616185:CDS	nc_000913	"nickel abc transporter permease"	nc_000913		
NC_000913:3616182..3617015:CDS	nc_000913	"nickel abc transporter permease"	nc_000913		
NC_000913:3617015..3617779:CDS	nc_000913	"nickel abc transporter atpase"	nc_000913		
NC_000913:3617776..3618582:CDS	nc_000913	"nickel abc transporter atpase"	nc_000913		
NC_000913:3618588..3618989:CDS	nc_000913	"transcriptional repressor, ni-binding"	nc_000913		
NC_000913:3619192..3623427:CDS	nc_000913	"rhs protein with duf4329 family putative toxin domain; putative neighboring cell growth inhibitor"	nc_000913		
NC_000913:3623399..3623782:CDS	nc_000913	"putative ntf2 fold immunity protein for polymorphic toxin rhsb"	nc_000913		
NC_000913:3623887..3624237:CDS	nc_000913		nc_000913		
NC_000913:3624378..3625514:CDS	nc_000913	"putative transposase"	nc_000913		
NC_000913:complement(3625679..3626803):CDS	nc_000913	"putative abc transporter permease"	nc_000913		
NC_000913:complement(3626803..3629538):CDS	nc_000913	"ribosome-associated atpase: atp-binding protein/atp-binding membrane protein"	nc_000913		
NC_000913:complement(3629535..3630602):CDS	nc_000913	"putative membrane fusion protein (mfp) of efflux pump"	nc_000913		
NC_000913:complement(3630968..3632590):CDS	nc_000913	"duf4049 family protein"	nc_000913		
NC_000913:complement(join(3632852..3633265,3633265..3634458)):CDS	nc_000913		nc_000913		
NC_000913:3634841..3635893:CDS	nc_000913	"acid resistance protein, inner membrane"	nc_000913		
NC_000913:complement(3636208..3637410):CDS	nc_000913	"putative oxidoreductase"	nc_000913		
NC_000913:3637642..3639141:CDS	nc_000913	"phosphate transporter, low-affinity; tellurite importer"	nc_000913		
NC_000913:complement(3639385..3639720):CDS	nc_000913	"universal stress (ethanol tolerance) protein b"	nc_000913		
NC_000913:3640111..3640545:CDS	nc_000913	"universal stress global response regulator"	nc_000913		
NC_000913:3640862..3642331:CDS	nc_000913	"dipeptide and tripeptide permease b"	nc_000913		
NC_000913:complement(3642380..3643132):CDS	nc_000913	"16s rrna m(2)g1516 methyltransferase, sam-dependent"	nc_000913		
NC_000913:complement(3643140..3645182):CDS	nc_000913	"oligopeptidase a"	nc_000913		
NC_000913:3645385..3646227:CDS	nc_000913	"23s rrna m(6)a2030 methyltransferase, sam-dependent"	nc_000913		
NC_000913:3646299..3647651:CDS	nc_000913	"glutathione oxidoreductase"	nc_000913		
NC_000913:complement(3647705..3647788):CDS	nc_000913	"uv-inducible membrane toxin, dinq-agrb type i toxin-antitoxin system"	nc_000913		
NC_000913:3648528..3648881:CDS	nc_000913	"arsenical resistance operon transcriptional repressor; autorepressor"	nc_000913		
NC_000913:3648935..3650224:CDS	nc_000913	"arsenite/antimonite transporter"	nc_000913		
NC_000913:3650237..3650662:CDS	nc_000913	"arsenate reductase"	nc_000913		
NC_000913:join(3651291..3652031,3653231..3653713):CDS	nc_000913		nc_000913		
NC_000913:complement(3652182..3653198):CDS	nc_000913	"is5 transposase and trans-activator"	nc_000913		
NC_000913:3653961..3654527:CDS	nc_000913	"outer membrane lipoprotein"	nc_000913		
NC_000913:3654683..3655213:CDS	nc_000913	"putative luxr family repressor for dicarboxylate transport"	nc_000913		
NC_000913:complement(3655255..3655902):CDS	nc_000913	"putative mg(2+) transport atpase, inner membrane protein"	nc_000913		
NC_000913:complement(3655966..3656292):CDS	nc_000913	"acid-resistance protein"	nc_000913		
NC_000913:complement(3656408..3656740):CDS	nc_000913	"stress response protein acid-resistance protein"	nc_000913		
NC_000913:3656995..3657567:CDS	nc_000913	"acid-resistance membrane protein"	nc_000913		
NC_000913:3658366..3658893:CDS	nc_000913	"gad regulon transcriptional activator"	nc_000913		
NC_000913:3659232..3660389:CDS	nc_000913	"anaerobic multidrug efflux transporter, arca-regulated"	nc_000913		
NC_000913:3660414..3663527:CDS	nc_000913	"anaerobic multidrug efflux transporter, arca-regulated"	nc_000913		
NC_000913:complement(3663890..3664618):CDS	nc_000913	"transcriptional activator of gada and gadbc; repressor of gadx"	nc_000913		
NC_000913:complement(3664986..3665810):CDS	nc_000913	"acid resistance regulon transcriptional activator; autoactivator"	nc_000913		
NC_000913:complement(3666180..3667580):CDS	nc_000913	"glutamate decarboxylase a, plp-dependent"	nc_000913		
NC_000913:complement(3667791..3669188):CDS	nc_000913	"putative cytochrome c peroxidase"	nc_000913		
NC_000913:3669592..3671241:CDS	nc_000913	"cytoplasmic trehalase"	nc_000913		
NC_000913:complement(3671292..3671894):CDS	nc_000913	"putative dna-binding transcriptional response regulator"	nc_000913		
NC_000913:3672414..3673313:CDS	nc_000913	"lysr family putative transcriptional regulator"	nc_000913		
NC_000913:3673362..3674375:CDS	nc_000913	"inner membrane putative brbk family alternate lipid exporter"	nc_000913		
NC_000913:3674786..3676108:CDS	nc_000913	"putative mfs transporter; membrane protein"	nc_000913		
NC_000913:complement(3676290..3678350):CDS	nc_000913	"putative inner membrane-anchored periplasmic asma family protein"	nc_000913		
NC_000913:complement(3678420..3679187):CDS	nc_000913	"cyclic-di-gmp phosphodiesterase, flhdc-regulated"	nc_000913		
NC_000913:3679419..3680348:CDS	nc_000913	"2-dehydro-3-deoxygluconokinase"	nc_000913		
NC_000913:complement(3680444..3681940):CDS	nc_000913	"putative periplasmic m16 family chaperone"	nc_000913		
NC_000913:complement(3682161..3683447):CDS	nc_000913	"c4-dicarboxylic acid, orotate and citrate transporter"	nc_000913		
NC_000913:complement(3683630..3685618):CDS	nc_000913	"cyclic-di-gmp phosphodiesterase"	nc_000913		
NC_000913:complement(3685700..3689173):CDS	nc_000913	"cellulose synthase subunit"	nc_000913		
NC_000913:complement(3689155..3690261):CDS	nc_000913	"endo-1,4-d-glucanase"	nc_000913		
NC_000913:complement(3690268..3692607):CDS	nc_000913	"regulator of cellulose synthase, cyclic di-gmp binding"	nc_000913		
NC_000913:complement(3692618..3695236):CDS	nc_000913	"cellulose synthase, catalytic subunit"	nc_000913		
NC_000913:complement(3695233..3695985):CDS	nc_000913		nc_000913		
NC_000913:complement(3695997..3696185):CDS	nc_000913	"duf2629 family protein"	nc_000913		
NC_000913:3696458..3698029:CDS	nc_000913	"cellulose production protein"	nc_000913		
NC_000913:3698026..3698217:CDS	nc_000913	"duf2636 family cellulose production small membrane protein"	nc_000913		
NC_000913:3698214..3699893:CDS	nc_000913	"duf3260 family cellulose production inner membrane protein"	nc_000913		
NC_000913:complement(3699980..3700087):CDS	nc_000913	"toxic polypeptide, small"	nc_000913		
NC_000913:3700563..3701834:CDS	nc_000913	"putative transporter"	nc_000913		
NC_000913:complement(3701864..3702868):CDS	nc_000913	"dipeptide/heme abc transporter atpas"	nc_000913		
NC_000913:complement(3702865..3703848):CDS	nc_000913	"dipeptide/heme abc transporter atpas"	nc_000913		
NC_000913:complement(3703859..3704761):CDS	nc_000913	"dipeptide/heme abc transporter permease"	nc_000913		
NC_000913:complement(3704771..3705790):CDS	nc_000913	"dipeptide/heme abc transporter permease"	nc_000913		
NC_000913:complement(3706098..3707705):CDS	nc_000913	"dipeptide/heme abc transporter periplasmic binding protein; dipeptide chemotaxis receptor"	nc_000913		
NC_000913:complement(3708784..3710475):CDS	nc_000913	"kdo phosphoethanolamine transferase, ca(2+)-inducible"	nc_000913		
NC_000913:complement(3710799..3712007):CDS	nc_000913	"pyruvate-inducible inner membrane protein, putative transporter"	nc_000913		
NC_000913:complement(3712236..3712934):CDS	nc_000913	"autotransporter beta-domain protein"	nc_000913		
NC_000913:3713092..3713655:CDS	nc_000913	"3-methyl-adenine dna glycosylase i, constitutive"	nc_000913		
NC_000913:3713652..3714092:CDS	nc_000913	"gnat family putative n-acetyltransferase"	nc_000913		
NC_000913:complement(3714061..3716394):CDS	nc_000913	"biotin sulfoxide reductase"	nc_000913		
NC_000913:3716547..3717206:CDS	nc_000913	"multicopy suppressor of bamb; outer membrane lipoprotein"	nc_000913		
NC_000913:3717310..3718284:CDS	nc_000913	"glyoxylate/hydroxypyruvate reductase b"	nc_000913		
NC_000913:complement(3718334..3719044):CDS	nc_000913	"barrier effect co-colonization resistance factor; duf3053 family lipoprotein"	nc_000913		
NC_000913:3719478..3719768:CDS	nc_000913	"hth_croc1 family putative transcriptional regulator"	nc_000913		
NC_000913:3720049..3720261:CDS	nc_000913	"rna chaperone and antiterminator, cold-inducible"	nc_000913		
NC_000913:complement(3720448..3720632):CDS	nc_000913		nc_000913		
NC_000913:complement(3720448..3720600):CDS	nc_000913	"toxic polypeptide, small"	nc_000913		
NC_000913:3720680..3721201:CDS	nc_000913	"is150 transposase a"	nc_000913		
NC_000913:3721198..3722049:CDS	nc_000913	"is150 transposase b"	nc_000913		
NC_000913:complement(3722328..3724397):CDS	nc_000913	"glycine trna synthetase, beta subunit"	nc_000913		
NC_000913:complement(3724407..3725318):CDS	nc_000913	"glycine trna synthetase, alpha subunit"	nc_000913		
NC_000913:complement(3725413..3725712):CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:3725887..3726882:CDS	nc_000913	"o-acetyltransferase for enterobacterial common antigen (eca)"	nc_000913		
NC_000913:complement(3726924..3727361):CDS	nc_000913	"yiaab family inner membrane protein, tandem domains"	nc_000913		
NC_000913:complement(3727407..3727748):CDS	nc_000913	"yiaab family inner membrane protein"	nc_000913		
NC_000913:complement(3727917..3729371):CDS	nc_000913	"xylulokinase"	nc_000913		
NC_000913:complement(3729443..3730765):CDS	nc_000913	"d-xylose isomerase"	nc_000913		
NC_000913:3731131..3732123:CDS	nc_000913	"d-xylose transporter subunit"	nc_000913		
NC_000913:3732201..3733742:CDS	nc_000913	"d-xylose abc transporter dual domain atpase"	nc_000913		
NC_000913:3733720..3734901:CDS	nc_000913	"d-xylose abc transporter permease"	nc_000913		
NC_000913:3734979..3736157:CDS	nc_000913	"xylose divergent operon transcriptional activator"	nc_000913		
NC_000913:complement(3736353..3737177):CDS	nc_000913	"putative glucosaminidase"	nc_000913		
NC_000913:3737497..3739527:CDS	nc_000913	"alpha-amylase"	nc_000913		
NC_000913:3739705..3740958:CDS	nc_000913	"valine-pyruvate aminotransferase; transaminase c; alanine-valine transaminase"	nc_000913		
NC_000913:complement(3741109..3741582):CDS	nc_000913	"putative hydrogenase, 4fe-4s ferredoxin-type component"	nc_000913		
NC_000913:complement(3741684..3742532):CDS	nc_000913	"transcriptional repressor for the yiaklmno-lyxk-sgbhue operon"	nc_000913		
NC_000913:3742733..3743731:CDS	nc_000913	"2,3-diketo-l-gulonate reductase, nadh-dependent"	nc_000913		
NC_000913:3743743..3744210:CDS	nc_000913	"duf386 family protein"	nc_000913		
NC_000913:3744328..3744801:CDS	nc_000913	"2,3-diketo-l-gulonate trap transporter small permease protein"	nc_000913		
NC_000913:3744804..3746081:CDS	nc_000913	"2,3-diketo-l-gulonate trap transporter large permease protein"	nc_000913		
NC_000913:3746094..3747080:CDS	nc_000913	"2,3-diketo-l-gulonate-binding periplasmic protein"	nc_000913		
NC_000913:3747084..3748580:CDS	nc_000913	"l-xylulose kinase"	nc_000913		
NC_000913:3748577..3749239:CDS	nc_000913	"3-keto-l-gulonate 6-phosphate decarboxylase"	nc_000913		
NC_000913:3749232..3750092:CDS	nc_000913	"putative l-xylulose 5-phosphate 3-epimerase"	nc_000913		
NC_000913:3750086..3750781:CDS	nc_000913	"l-ribulose-5-phosphate 4-epimerase"	nc_000913		
NC_000913:complement(3750813..3750914):CDS	nc_000913		nc_000913		
NC_000913:3750918..3751109:CDS	nc_000913		nc_000913		
NC_000913:complement(3751128..3751868):CDS	nc_000913	"putative outer membrane protein"	nc_000913		
NC_000913:3751992..3752966:CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:complement(3752963..3754099):CDS	nc_000913	"signal-anchored membrane fusion protein (mfp) component of efflux pump"	nc_000913		
NC_000913:complement(3754105..3754428):CDS	nc_000913	"duf3302 family inner membrane protein"	nc_000913		
NC_000913:complement(3754973..3756511):CDS	nc_000913	"aldehyde dehydrogenase b"	nc_000913		
NC_000913:complement(3756676..3757827):CDS	nc_000913	"l-threonine dehydrogenase"	nc_000913		
NC_000913:complement(3758017..3759861):CDS	nc_000913	"selenocysteinyl-trna-specific translation factor"	nc_000913		
NC_000913:complement(3759858..3761249):CDS	nc_000913	"selenocysteine synthase"	nc_000913		
NC_000913:complement(3761347..3761955):CDS	nc_000913	"glutathione s-transferase homolog"	nc_000913		
NC_000913:3762183..3766316:CDS	nc_000913	"rhs protein with putative toxin 55 domain; putative polysaccharide synthesis/export protein; putative neighboring cell growth inhibitor"	nc_000913		
NC_000913:3766337..3767179:CDS	nc_000913	"putative immunity protein for polymorphic toxin rhsa; heat-domain protein; lethality reduction protein"	nc_000913		
NC_000913:3767221..3768165:CDS	nc_000913		nc_000913		
NC_000913:3768177..3768638:CDS	nc_000913	"tpr-like repeat protein"	nc_000913		
NC_000913:3768639..3768890:CDS	nc_000913		nc_000913		
NC_000913:join(3768892..3768975,3768975..3769256):CDS	nc_000913		nc_000913		
NC_000913:join(3769345..3769671,3769673..3769783):CDS	nc_000913		nc_000913		
NC_000913:join(3769948..3770034,3770033..3770146):CDS	nc_000913		nc_000913		
NC_000913:complement(3770243..3771379):CDS	nc_000913	"putative membrane fusion protein (mfp) component of efflux pump"	nc_000913		
NC_000913:complement(3771382..3771744):CDS	nc_000913	"duf3302 family inner membrane protein"	nc_000913		
NC_000913:3772281..3774194:CDS	nc_000913	"mannitol-specific pts enzyme: iia, iib and iic components"	nc_000913		
NC_000913:3774424..3775572:CDS	nc_000913	"mannitol-1-phosphate dehydrogenase, nad-dependent"	nc_000913		
NC_000913:3775572..3776159:CDS	nc_000913	"mannitol operon repressor"	nc_000913		
NC_000913:complement(3776171..3776380):CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:3776665..3777027:CDS	nc_000913	"ribosome-associated duf2810 family protein"	nc_000913		
NC_000913:3777399..3779054:CDS	nc_000913	"l-lactate permease"	nc_000913		
NC_000913:3779054..3779830:CDS	nc_000913	"dual role activator/repressor for lldprd operon"	nc_000913		
NC_000913:3779827..3781017:CDS	nc_000913	"l-lactate dehydrogenase, fmn-linked"	nc_000913		
